date,transfers_in,ward_occupancy_start_of_day,ed_census_prior_evening,day_of_week,month,is_holiday,avg_ed_wait_time_hrs
2012-01-01,1.0,0.071,78.0,Sunday,1,True,5.1
2012-01-02,2.0,0.179,108.0,Monday,1,False,4.1
2012-01-03,1.0,0.25,94.0,Tuesday,1,False,4.2
2012-01-04,3.0,0.393,123.0,Wednesday,1,False,5.9
2012-01-05,,0.429,68.0,Thursday,1,False,0.4
2012-01-06,1.0,0.464,81.0,Friday,1,False,1.9
2012-01-07,0.0,0.5,,Saturday,1,False,4.6
2012-01-08,1.0,0.607,90.0,Sunday,1,False,3.9
2012-01-09,1.0,0.643,86.0,Monday,1,False,3.2
2012-01-10,2.0,0.679,95.0,Tuesday,1,False,4.7
2012-01-11,0.0,0.679,82.0,Wednesday,1,False,2.2
2012-01-12,1.0,0.607,74.0,Thursday,1,False,2.3
2012-01-13,1.0,0.679,85.0,Friday,1,False,1.4
2012-01-14,3.0,0.821,122.0,Saturday,1,False,4.3
2012-01-15,1.0,0.786,104.0,Sunday,1,False,3.5
2012-01-16,1.0,,87.0,Monday,1,False,4.4
2012-01-17,4.0,0.786,105.0,Tuesday,1,False,3.3
2012-01-18,5.0,0.964,135.0,Wednesday,1,False,5.3
2012-01-19,3.0,0.964,141.0,Thursday,1,False,3.7
2012-01-20,0.0,0.964,105.0,Friday,1,False,4.0
2012-01-21,2.0,1.071,101.0,Saturday,1,False,5.8
2012-01-22,0.0,1.071,81.0,Sunday,1,False,4.1
2012-01-23,0.0,1.071,83.0,Monday,1,False,4.1
2012-01-24,0.0,1.036,85.0,Tuesday,1,False,3.6
2012-01-25,2.0,0.964,95.0,Wednesday,1,False,4.1
2012-01-26,1.0,0.857,105.0,Thursday,1,False,6.6
2012-01-27,2.0,0.893,94.0,Friday,1,False,3.3
2012-01-28,3.0,0.929,113.0,Saturday,1,False,4.3
2012-01-29,1.0,0.964,76.0,Sunday,1,False,1.1
2012-01-30,2.0,1.036,102.0,Monday,1,False,4.9
2012-01-31,0.0,0.964,66.0,Tuesday,1,False,
2012-02-01,3.0,1.0,125.0,Wednesday,2,False,5.7
2012-02-02,0.0,0.964,92.0,Thursday,2,False,5.1
2012-02-03,3.0,0.929,104.0,Friday,2,False,2.7
2012-02-04,2.0,0.964,109.0,Saturday,2,False,4.4
2012-02-05,1.0,0.929,97.0,Sunday,2,False,5.5
2012-02-06,0.0,0.857,73.0,Monday,2,False,2.9
2012-02-07,0.0,0.893,88.0,Tuesday,2,False,5.4
2012-02-08,2.0,0.929,105.0,Wednesday,2,False,3.6
2012-02-09,0.0,0.821,82.0,Thursday,2,False,5.9
2012-02-10,2.0,0.893,113.0,Friday,2,False,4.6
2012-02-11,0.0,0.893,84.0,Saturday,2,False,4.2
2012-02-12,1.0,0.821,84.0,Sunday,2,False,3.9
2012-02-13,5.0,0.857,133.0,Monday,2,False,4.4
2012-02-14,2.0,0.857,103.0,Tuesday,2,False,2.9
2012-02-15,1.0,0.75,78.0,Wednesday,2,False,3.2
2012-02-16,1.0,0.679,105.0,Thursday,2,False,2.7
2012-02-17,2.0,0.786,87.0,Friday,2,False,3.1
2012-02-18,2.0,0.821,85.0,Saturday,2,False,3.3
2012-02-19,1.0,0.893,90.0,Sunday,2,False,4.2
2012-02-20,1.0,0.75,107.0,Monday,2,False,6.1
2012-02-21,3.0,0.643,107.0,Tuesday,2,False,5.8
